阶段,活动编号,活动名称,科学依据,持续时间,建议频率,详细说明
"刚开始谈恋爱（初期阶段 0-3个月）",1,"深度问题交流（如Aron的36个问题）","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","90分钟","1-2次","按照递增难度顺序一起回答心理学家Aron设计的36个深层问题，从简单的自我介绍到深层的人生价值观。研究表明可快速建立陌生人间的亲密感和情感连接[web:46][web:49]。"
"刚开始谈恋爱（初期阶段 0-3个月）",2,"参加新体验活动（如密室逃脱、攀岩、舞蹈课）","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","2-3小时","每周1次","新奇体验激发多巴胺分泌，增加兴奋感和合作感。与伴侣一起完成有挑战的任务强化情感纽带[web:29][web:70]。"
"刚开始谈恋爱（初期阶段 0-3个月）",3,"分享童年故事和个人秘密","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","1-2小时","每周2-3次","自我披露是建立信任的关键。双方轮流分享重要的人生经历、梦想和恐惧，增加心理亲密度[web:44][web:47]。"
"刚开始谈恋爱（初期阶段 0-3个月）",4,"长时间眼神接触练习","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","5-10分钟","每周多次","长时间凝视能增加催产素分泌，引发深层情感连接。在安全、舒适的环境中进行，同时轻声交流[web:6][web:31]。"
"刚开始谈恋爱（初期阶段 0-3个月）",5,"一起做饭或烘焙","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","1.5-2小时","每周1次","合作完成烹饪任务增强团队感，共享美食产生积极情绪。食物本身也会影响多巴胺分泌，创造积极体验[web:29][web:56]。"
"刚开始谈恋爱（初期阶段 0-3个月）",6,"身体接触逐步升级（牵手、拥抱、抚摸）","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","日常","每天","非性接触（如握手、拥抱）刺激催产素释放，建立安全感和亲密感。循序渐进的身体接触帮助建立信任[web:6][web:67]。"
"刚开始谈恋爱（初期阶段 0-3个月）",7,"分享喜欢的音乐、电影和书籍","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","1-2小时","每周1-2次","共同兴趣建立连接点。讨论为什么喜欢某部作品能深入了解彼此的价值观和情感世界[web:44][web:48]。"
"刚开始谈恋爱（初期阶段 0-3个月）",8,"散步时进行深度对话","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","45-60分钟","每周2-3次","步行产生内啡肽，减少焦虑。并排走路时减少了面对面的压力，更容易进行深度对话[web:13][web:56]。"
"刚开始谈恋爱（初期阶段 0-3个月）",9,"互相摄影或自拍，记录初期回忆","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","30-60分钟","每周1次","创造共同回忆有助于强化情感纽带。照片成为关系发展的视觉记录，增强集体身份感[web:29][web:48]。"
"刚开始谈恋爱（初期阶段 0-3个月）",10,"参加彼此感兴趣的活动","Knapp关系模型的'试探期'(Experimenting)和'深化期'(Intensifying)，此阶段主要激发多巴胺和去甲肾上腺素，建立初步亲密感和信任","2-4小时","每周1-2次","在对方热情的领域参与展现了重视和接纳。同时学习对方的世界增加了解深度[web:44][web:47]。"
